,pop_ocup,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDUCAÇÃO,esp_nasc_vi,Prob_60ano,Expec_estudo_18,renda_pc,"Sa_mensal_trab_formais
",Prop_ext_pobres,Prop_pobres,Propo_vuln_pobreza,Taxa_analf_pop_15_mais_2010,IDEB_iniciais,IDEB _finais,Perc_pop_vive_domicílios_agua_encanada,Perc_pop_vive_dom_urbanos_coleta_lixo,Perc_pop_vive_dom_ener_elétrica,Esgotam_sanit_adeq,pes_dom_abastec_agua_esgotam_sanit_inadequados,Urbaniz_vias_pub,id_cidade
0,8.2,0.628,0.594,0.816,0.510,73.98,81.81,6.99,321.58,2.7,14.91,28.54,58.87,23.6,5.1,4.2,321.58,96.76,99.24,8.0,14.67,0.0,5100102
1,21.8,0.729,0.723,0.829,0.646,74.71,82.86,10.01,720.74,2.4,1.45,7.38,20.78,7.8,6.1,4.9,720.74,99.84,98.14,14.2,0.45,1.5,5100201
2,25.3,0.714,0.709,0.817,0.629,73.99,81.82,9.81,660.84,2.1,1.86,5.77,25.2,8.9,5.9,4.7,660.84,96.82,99.61,17.0,2.77,3.0,5100250
3,17.9,0.704,0.712,0.802,0.612,73.13,80.55,9.1,671.99,2.6,3.66,9.48,22.84,8.6,6.2,4.6,671.99,98.35,96.6,22.6,1.25,5.7,5100300
4,8.1,0.651,0.613,0.803,0.561,73.2,80.66,8.17,362.66,2.6,25.18,35.68,52.8,11.5,5.0,4.9,362.66,96.38,79.82,24.4,17.5,0.1,5100359
5,13.7,0.701,0.707,0.835,0.583,75.08,83.39,8.92,651.91,2.5,2.15,7.7,24.34,9.3,5.6,4.1,651.91,98.32,99.57,3.5,2.9,6.9,5100409
6,4.9,0.638,0.612,0.784,0.541,72.01,78.85,8.96,360.06,2.0,12.45,24.55,47.59,14.6,4.8,3.5,360.06,87.74,90.31,22.6,17.33,5.7,5100508
7,28.7,0.705,0.736,0.833,0.571,74.95,83.2,9.03,781.26,3.2,1.15,4.3,16.83,6.6,5.8,4.4,781.26,100.0,99.98,1.6,2.49,0.0,5100607
8,10.9,0.675,0.666,0.809,0.570,73.54,81.16,8.98,504.04,2.0,6.82,12.73,31.29,13.4,5.7,4.6,504.04,94.63,98.28,5.7,7.33,0.0,5100805
9,11.5,0.687,0.671,0.817,0.591,74.01,81.84,9.99,519.03,2.0,3.77,9.57,32.83,12.4,5.1,4.0,519.03,92.8,97.79,3.1,1.98,0.0,5101001
10,23.6,0.701,0.650,0.844,0.627,75.61,84.14,10.83,456.43,1.9,1.32,9.69,31.87,14.6,,,456.43,97.5,97.13,5.5,2.44,0.0,5101209
11,21.6,0.725,0.704,0.826,0.655,74.56,82.64,9.47,639.18,2.3,3.56,9.03,29.03,11.1,5.6,4.9,639.18,99.54,97.83,11.5,3.66,22.4,5101258
12,12.6,0.704,0.677,0.793,0.649,72.56,79.69,9.95,540.59,2.1,2.51,11.2,31.72,12.1,5.7,4.6,540.59,92.03,99.29,17.5,7.34,2.7,5101308
13,14.8,0.675,0.682,0.816,0.553,73.97,81.79,6.75,558.26,2.1,14.66,19.96,37.22,10.0,5.5,4.4,558.26,98.56,93.36,4.0,9.19,12.8,5101407
14,6.9,0.600,0.598,0.820,0.440,74.2,82.13,6.93,330.46,2.0,13.62,27.47,59.24,17.4,4.7,3.8,330.46,79.46,94.76,23.3,23.0,22.6,5101605
15,16.6,0.693,0.684,0.818,0.595,74.05,81.9,8.7,563.98,2.5,6.96,14.73,34.71,13.2,5.3,4.4,563.98,96.55,99.04,26.6,8.63,9.6,5101704
16,25.5,0.748,0.738,0.817,0.693,74.01,81.84,10.29,789.99,2.1,4.09,10.88,27.08,7.2,5.7,4.5,789.99,96.97,98.02,53.2,0.85,34.7,5101803
17,5.9,0.661,0.665,0.784,0.555,72.02,78.86,7.32,500.5,2.3,3.91,16.68,37.92,10.5,4.5,3.8,500.5,99.0,97.33,2.3,9.69,0.0,5101852
18,16.5,0.696,0.695,0.850,0.571,76.0,84.67,8.69,602.75,2.3,9.04,17.46,33.23,9.2,5.3,4.0,602.75,92.11,90.67,7.9,12.83,4.8,5101902
19,16.1,0.708,0.691,0.813,0.633,73.76,81.48,9.09,590.43,3.1,4.69,14.28,37.01,10.2,5.0,4.3,590.43,92.35,99.04,59.6,7.91,23.2,5102504
20,6.4,0.538,0.597,0.803,0.324,73.17,80.61,6.41,328.15,2.3,37.82,54.03,66.27,25.1,4.6,3.6,328.15,92.67,57.82,8.7,6.13,9.8,5102603
21,31.7,0.734,0.745,0.819,0.649,74.15,82.06,9.19,823.32,2.8,0.73,2.18,13.98,5.5,5.6,4.7,823.32,99.61,100.0,22.4,0.34,28.0,5102637
22,23.2,0.750,0.755,0.834,0.670,75.06,83.36,9.46,878.37,2.6,1.51,3.57,17.25,6.3,6.0,4.5,878.37,97.56,98.32,10.6,3.18,3.2,5102678
23,33.8,0.744,0.800,0.825,0.625,74.49,82.54,8.25,1162.4,2.7,0.46,1.8,14.82,5.7,5.9,4.8,1162.4,100.0,98.57,3.5,0.81,11.5,5102686
24,10.1,0.667,0.616,0.817,0.589,74.01,81.85,10.2,370.81,2.0,14.85,27.37,51.83,11.5,5.2,4.4,370.81,94.5,96.41,0.8,29.89,0.0,5102694
25,18.9,0.693,0.735,0.825,0.549,74.51,82.57,9.18,774.65,2.4,5.08,10.29,24.94,10.3,5.6,4.3,774.65,97.2,95.05,4.3,0.68,0.1,5102702
26,9.4,0.665,0.656,0.809,0.553,73.54,81.16,9.75,474.83,1.9,9.26,18.91,40.43,15.6,5.6,5.1,474.83,98.65,98.33,4.7,9.96,0.0,5102793
27,7.0,0.665,0.671,0.800,0.547,72.97,80.31,9.58,520.54,2.2,5.54,20.79,41.73,13.3,5.4,4.4,520.54,90.99,90.54,7.6,8.7,0.0,5102850
28,11.7,0.688,0.677,0.833,0.578,74.99,83.27,8.73,540.98,2.5,9.09,18.62,38.08,12.7,5.0,4.3,540.98,97.34,96.99,33.7,7.17,6.3,5103007
29,15.1,0.699,0.719,0.809,0.586,73.53,81.15,9.63,700.38,2.1,5.32,11.68,30.76,9.4,5.4,4.2,700.38,99.28,95.29,17.2,4.27,5.9,5103056
30,16.5,0.660,0.674,0.807,0.528,73.4,80.95,7.74,531.41,2.4,3.84,12.8,33.59,16.0,5.0,4.0,531.41,91.33,96.26,1.9,6.11,0.3,5103106
31,23.2,0.713,0.732,0.819,0.604,74.16,82.08,9.2,758.67,2.2,3.91,8.8,26.31,10.0,5.8,4.6,758.67,96.35,99.57,18.1,3.23,7.1,5103205
