pib_pc_2015;Perc_rec_ext_2015;receitas_realizadas_2014_x1000;despesas_realizadas_2014_x1000;Pop_econ_ativa_18_mais;Perc_ocupados_setor_agrop;Perc_ocupados_setor_comercio;Perc_ocupados_setor_construcao ;Perc_ocupados_setor_extr_mineral;Perc_ocup_setores_serv_ind_util_pub;Perc_ocupados_setor_servicos;Perc_ocupados_industria_transf;grau_formal_trab_pes_ocupadas;Perc_ocup_fund_comp;Perc_ocup_medio_comp;Perc_ocup_superior_comp;Atv_maior_valor;Atv_segmaior_valor;Atv_tercmaior
10692,66;;;;1757;34,41;5,71;7,09;0,00;0,63;30,01;2,06;28,33;41,60;27,03;5,52;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
33899,29;67,3;71112;64021;9551;21,80;13,11;7,04;0,46;0,45;43,95;8,27;54,73;56,57;37,50;10,56;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita
25230,96;;;;24365;21,63;17,20;7,18;0,53;0,42;37,70;7,98;56,06;56,36;37,54;9,50;Demais serviços;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Comércio e reparação de veículos automotores e motocicletas
45128;80,8;82862;68551;8010;17,28;11,54;7,36;0,45;1,35;41,63;8,48;58,66;58,37;43,20;11,85;Indústrias de transformação;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
13750,21;93,3;;;1912;38,95;12,79;5,11;0,00;0,60;36,29;3,24;41,58;53,66;33,92;8,43;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
40553,27;83,2;29366;25493;5270;32,47;10,38;7,79;0,81;0,52;38,15;5,75;57,36;52,42;33,77;9,40;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
8345,24;87,3;18845;16630;3380;27,90;20,13;2,82;2,40;0,85;32,43;8,25;60,93;52,27;37,28;10,86;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
97511,45;81;;;4136;10,88;8,26;8,65;0,57;0,06;38,59;7,34;72,40;51,59;35,49;9,23;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
14268,72;80,7;27874;23042;4310;37,84;12,20;4,53;3,80;0,00;27,70;8,11;39,53;44,95;25,39;4,75;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
20416,4;80,6;13745;11392;1478;46,27;8,75;2,75;0,65;1,29;34,69;2,86;54,67;48,30;30,87;9,87;Pecuária, inclusive apoio à pecuária;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Demais serviços
17367,56;97,4;;;500;27,19;2,32;1,89;0,00;0,22;60,76;2,15;57,97;58,41;45,09;12,72;Administração, educação, saúde, pesquisa e desenvolvimento públicas, defesa, seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
