id_cidade;agua_min_pot_emp;calcario_emp;agua_term_emp;granito_brita_emp;min_manganes_emp;miner_ouro_ouro_emp;gema_diamante_emp;argila_emp;areia_emp;agua_min_pot;calcario;agua_term;granito_brita;min_manganes;miner_ouro_ouro;gema_diamante;argila;areia
5107768;;;;;;;;;;;;;;;;;;
5107776;;;;;;;;;;;;;;;;;;
5107263;;;;;;;;;;;;;;;;;;
5107792;;;;;;;;;;;;;;;;;;
5107800;2;;;3;;;;1;7;2737569,16;;;12686623,27;;;;289614;1326954,56
5107859;;;;;;;;;1;;;;;;;;;3620
5107297;;;;;;;;;;;;;;;;;;
5107305;;;;;;;;;;;;;;;;;;
5107354;;;;;;;;;;;;;;;;;;
5107107;;;;;;;;;;;;;;;;;;
5107404;;;;;;;;;1;;;;;;;;;47718
5107875;;;;;;;;;3;;;;;;;;;336409,86
5107883;;;;;;;;;;;;;;;;;;
5107909;;;;;;;;;5;;;;;;;;;3720479,67
5107925;;;;;;;;1;6;;;;;;;;75991,71;5303524,24
5107941;;;;;;;;;;;;;;;;;;
5107958;1;1;;;;;;;2;173860,99;23906979,24;;;;;;;426483,1
5108006;;;;;;;;;;;;;;;;;;
5108055;;;;1;;7;;;;;;;7566784,66;;39976628,64;;;
5108105;;;;;;;;;;;;;;;;;;
5108204;;;;;;;;;;;;;;;;;;
5108303;;;;;;;;;;;;;;;;;;
5108352;;;;;;;;;;;;;;;;;;
5108402;;;;;;4;;2;2;;;;;;7317715;;232511,73;62254,22
5108501;;;;;;;;;;;;;;;;;;
5105507;;;;;;3;;;1;;;;;;85643072,51;;;27905
5108600;;;;1;;;;;;;;;923028,41;;;;;
